Company name,Website,Industry Vertical,Aviation,Automotive,Agriculture,Banking/Finance/Insurance,Construction,Chemicals/Life Sciences,Education,Energy/Utilities,Defense/Security,Government,Health,Hospitality,Logistics,Manufacturing,Media/Entertainment,Public Sector,Retail and eCommerce,Transport,Travel,Telecommunications,BICS Product Area,Personal Contact,Conference,Company Size,North America,LATAM,UK,Europe,MEA,APAC,Annual Revenue,Annual Employee Growth (%),Buyer Interest,Salesforce Status,Lead became Opportunity,Comment
Selta,https://selta.com/,System Integrator,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Numbers and Voice,No,No,51-200,No,No,No,Yes,No,No,73500000,7,Neutral,Marketing Qualification,No,
Voipfone,https://www.voipfone.co.uk/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,No,No,Yes,No,No,No,7100000,0,Neutral,Marketing Qualification,No,
Yealink,https://www.yealink.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,501-1000,No,No,No,No,No,Yes,595300000,13,Neutral,Marketing Qualification,No,
Glia,https://www.glia.com/,CCSPs,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,21000000,57,Neutral,Marketing Qualification,No,
Kore.ai,https://kore.ai/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,501-1000,Yes,No,Yes,No,No,Yes,63000000,48,Neutral,Marketing Qualification,No,
Deloitte,,Consulting,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Numbers and Voice,No,No,10001+,Yes,Yes,Yes,Yes,Yes,Yes,50200000000,16,Moderate,Prospect With Opportunities,No,
CallTower,,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,55400000,3,Negative,Prospect With Opportunities,Yes,
Ericsson,,Hyperscalers,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Numbers and Voice,No,Yes,10001+,Yes,Yes,Yes,Yes,No,Yes,22900000000,1,High,Prospect With Opportunities,Yes,
Everbridge,,Software,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Messaging,No,Yes,1001-5000,Yes,No,Yes,Yes,Yes,Yes,386000000,10,Neutral,Prospect With Opportunities,Yes,
Telent,,System Integrator,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,IOT,No,No,1001-5000,No,No,Yes,No,No,No,686700000,1,Neutral,Prospect With Opportunities,Yes,
Pretend,,Hardware and Devices,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,MPN,No,No,1001-5000,No,No,Yes,No,No,No,686700000,1,Neutral,Prospect With Opportunities,Yes,
